Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
S Dhawan (INDIA),4,4,1,190,132*,63.33,149,127.51,1,0,0,28,4,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,,
AT Rayudu (INDIA),5,5,2,190,90,63.33,231,82.25,0,1,1,18,6,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,,
MP Stoinis (AUS),2,2,1,188,146*,188,165,113.93,1,0,0,13,12,30-Jan-17,New Zealand
"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",,,,,,,,,,,,,,,
S Dhawan (INDIA),5,5,1,188,75*,47,230,81.73,0,2,0,23,1,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,,
MR Marsh (AUS),5,5,0,186,55,37.2,218,85.32,0,2,0,14,3,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,,
V Kohli (INDIA),3,3,0,185,122,61.66,173,106.93,1,1,0,18,5,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,,
RG Sharma (INDIA),3,3,0,185,133,61.66,198,93.43,1,0,0,13,8,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
V Kohli (INDIA),5,5,0,180,92,36,222,81.08,0,1,1,15,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,,
AT Rayudu (INDIA),6,6,2,175,60,43.75,218,80.27,0,2,0,12,6,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
GJ Maxwell (AUS),5,4,0,174,78,43.5,133,130.82,0,2,0,20,3,13-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,,
RG Sharma (INDIA),3,3,0,174,147,58,175,99.42,1,0,0,19,4,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,,
RG Sharma (INDIA),6,6,0,170,115,28.33,205,82.92,1,0,1,19,6,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
GJ Maxwell (AUS),4,4,1,169,96,56.33,134,126.11,0,1,0,16,4,12-Jan-16,Australia
"India in Australia ODI Series, 2015/16",,,,,,,,,,,,,,,
RG Sharma (INDIA),5,5,0,169,87,33.8,236,71.61,0,2,0,13,5,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,,
S Dhawan (INDIA),3,3,1,168,100*,84,158,106.32,1,1,1,22,2,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,,
AJ Finch (AUS),7,6,0,167,72,27.83,214,78.03,0,1,1,21,4,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,,
GJ Maxwell (AUS),5,4,0,166,85,41.5,129,128.68,0,1,0,18,5,3-Sep-15,Australia
"Australia in England ODI Series, 2015",,,,,,,,,,,,,,,
AT Rayudu (INDIA),2,2,1,165,124*,165,183,90.16,1,0,0,15,1,10-Jul-15,India
"India in Zimbabwe ODI Series, 2015",,,,,,,,,,,,,,,
DA Warner (AUS),3,3,1,165,109,82.5,180,91.66,1,1,0,14,3,5-Jun-16,Australia
"West Indies Tri-Nation Series (Australia, South Africa, West Indies), 2016",,,,,,,,,,,,,,,
MS Dhoni (INDIA),3,3,0,165,134,55,164,100.6,1,0,0,12,7,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,,
MS Wade (AUS),5,4,2,164,71*,82,119,137.81,0,2,0,20,3,3-Sep-15,Australia
