Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4wh,5wh,Start Date,Winner
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,
DJ Worrall (AUS),2,2,16.2,0,128,0,-,-,7.83,-,0,0,30-Sep-16,South Africa
"Australia in South Africa ODI Series, 2016/17",,,,,,,,,,,,,,
KM Jadhav (INDIA),3,2,9,0,68,0,-,-,7.55,-,0,0,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,
Yuvraj Singh (INDIA),3,2,5,0,31,0,-,-,6.2,-,0,0,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,
A Zampa (AUS),1,1,7,0,41,0,-,-,5.85,-,0,0,5-Feb-17,New Zealand
"Chappell-Hadlee Trophy [Australia in New Zealand], 2016/17",,,,,,,,,,,,,,
V Kohli (INDIA),5,1,3,0,17,0,-,-,5.66,-,0,0,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
GJ Maxwell (AUS),3,2,3,0,23,0,-,-,7.66,-,0,0,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,
RA Jadeja (INDIA),2,2,20,1,75,0,-,-,3.75,-,0,0,2-Jul-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,
Yuvraj Singh (INDIA),3,1,5,0,25,0,-,-,5,-,0,0,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,
V Kohli (INDIA),5,1,2,0,12,0,-,-,6,-,0,0,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,
AJ Finch (AUS),3,2,3.1,0,18,0,-,-,5.68,-,0,0,24-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
TM Head (AUS),5,3,14,0,87,0,-,-,6.21,-,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
GJ Maxwell (AUS),3,1,1,0,2,0,-,-,2,-,0,0,17-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
Mohammed Shami (INDIA),1,1,10,1,62,0,-,-,6.2,-,0,0,28-Sep-17,India
"Australia in India ODI Series, 2017/18",,,,,,,,,,,,,,
KM Jadhav (INDIA),3,2,16,0,85,0,-,-,5.31,-,0,0,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,
SS Iyer (INDIA),3,1,1,0,2,0,-,-,2,-,0,0,10-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,
AJ Finch (AUS),3,1,3,0,17,0,-,-,5.66,-,0,0,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,
TM Head (AUS),4,3,9.5,0,70,0,-,-,7.11,-,0,0,14-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,
GJ Maxwell (AUS),1,1,3,0,23,0,-,-,7.66,-,0,0,28-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,
KM Jadhav (INDIA),3,2,6,0,30,0,-,-,5,-,0,0,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,
AJ Finch (AUS),5,1,1,0,7,0,-,-,7,-,0,0,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,
GJ Maxwell (AUS),3,2,4,0,30,0,-,-,7.5,-,0,0,13-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,
DJM Short (AUS),3,3,7,0,59,0,-,-,8.42,-,0,0,16-Jun-18,England
"Australia in England ODI Series, 2018",,,,,,,,,,,,,,
S Kaul (INDIA),2,2,18,0,121,0,-,-,6.72,-,0,0,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,
B Kumar (INDIA),1,1,7,0,49,0,-,-,7,-,0,0,17-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,
SK Raina (INDIA),3,3,7,1,42,0,-,-,6,-,0,0,12-Jul-18,England
"India in England ODI Series, 2018",,,,,,,,,,,,,,
S Kaul (INDIA),1,1,9,0,58,0,-,-,6.44,-,0,0,25-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,
HH Pandya (INDIA),1,1,4.5,0,24,0,-,-,4.96,-,0,0,19-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,
AT Rayudu (INDIA),6,1,0.1,0,0,0,-,-,0,-,0,0,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,
SN Thakur (INDIA),1,1,4,0,41,0,-,-,10.25,-,0,0,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,
GJ Maxwell (AUS),3,2,8,0,49,0,-,-,6.12,-,0,0,4-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
A Zampa (AUS),2,2,15,0,89,0,-,-,5.93,-,0,0,9-Nov-18,South Africa
"South Africa in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
KK Ahmed (INDIA),1,1,8,0,55,0,-,-,6.87,-,0,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
KM Jadhav (INDIA),1,1,6,0,35,0,-,-,5.83,-,0,0,18-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
NM Lyon (AUS),2,2,20,1,109,0,-,-,5.45,-,0,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
Mohammed Siraj (INDIA),1,1,10,0,76,0,-,-,7.6,-,0,0,15-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
AT Rayudu (INDIA),2,1,2,0,13,0,-,-,6.5,-,0,0,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
V Shankar (INDIA),1,1,6,0,23,0,-,-,3.83,-,0,0,18-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
B Stanlake (AUS),1,1,10,0,49,0,-,-,4.9,-,0,0,18-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
A Zampa (AUS),1,1,10,0,34,0,-,-,3.4,-,0,0,18-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,
KK Ahmed (INDIA),1,1,3,0,19,0,-,-,6.33,-,0,0,31-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,
V Shankar (INDIA),3,3,10,0,55,0,-,-,5.5,-,0,0,23-Jan-19,India
"India in New Zealand ODI Series, 2018/19",,,,,,,,,,,,,,
S Dhawan (INDIA),6,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
MS Dhoni (INDIA),6,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
AJ Finch (AUS),7,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
BJ Haddin (AUS),7,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
AM Rahane (INDIA),6,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
SPD Smith (AUS),7,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
DA Warner (AUS),7,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,Australia
"ICC Cricket World Cup (in Australia/New Zealand), 2014/15",,,,,,,,,,,,,,
MJ Clarke (AUS),1,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,
AJ Finch (AUS),1,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,
BJ Haddin (AUS),1,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,
SPD Smith (AUS),1,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,
DA Warner (AUS),1,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,
SR Watson (AUS),1,-,-,-,-,-,-,-,-,-,-,-,28-Feb-15,New Zealand
"Chappell-Hadlee Trophy (Australia in New Zealand), 2014/15",,,,,,,,,,,,,,
S Dhawan (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,
MS Dhoni (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,
AM Rahane (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,
RG Sharma (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,18-Jun-15,Bangladesh
"India in Bangladesh ODI Series, 2015",,,,,,,,,,,,,,
KM Jadhav (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,10-Jul-15,India
