Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Start Date,Winner
"Australia in Sri Lanka ODI Series, 2016",,,,,,,,,,,,,,,
GJ Bailey (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,,
SM Boland (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,,
JW Hastings (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,,
TM Head (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,,
MR Marsh (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,,
MS Wade (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,,
DJ Worrall (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,,
A Zampa (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,27-Sep-16,Australia
"Australia v Ireland ODI Match (in South Africa), 2016/17",,,,,,,,,,,,,,,
JR Hazlewood (AUS),3,-,-,-,-,-,-,-,-,-,-,-,-,4-Dec-16,Australia
"Chappell-Hadlee Trophy [New Zealand in Australia], 2016/17",,,,,,,,,,,,,,,
A Zampa (AUS),2,-,-,-,-,-,-,-,-,-,-,-,-,22-Jan-17,Australia
"Pakistan in Australia ODI Series, 2016/17",,,,,,,,,,,,,,,
UT Yadav (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,15-Jan-17,India
"England in India ODI Series, 2016/17",,,,,,,,,,,,,,,
JW Hastings (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,2-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
UT Yadav (INDIA),2,-,-,-,-,-,-,-,-,-,-,-,-,4-Jun-17,Pakistan
"ICC Champions Trophy (in England), 2017",,,,,,,,,,,,,,,
R Ashwin (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
B Kumar (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,23-Jun-17,India
"India in West Indies ODI Series, 2017",,,,,,,,,,,,,,,
JJ Bumrah (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,-,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,,
YS Chahal (INDIA),4,-,-,-,-,-,-,-,-,-,-,-,-,20-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,,
Kuldeep Yadav (INDIA),2,-,-,-,-,-,-,-,-,-,-,-,-,31-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,,
SN Thakur (INDIA),2,-,-,-,-,-,-,-,-,-,-,-,-,31-Aug-17,India
"India in Sri Lanka ODI Series, 2017",,,,,,,,,,,,,,,
JJ Bumrah (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,,
YS Chahal (INDIA),3,-,-,-,-,-,-,-,-,-,-,-,-,22-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,,
AR Patel (INDIA),2,-,-,-,-,-,-,-,-,-,-,-,-,25-Oct-17,India
"New Zealand in India ODI Series, 2017/18",,,,,,,,,,,,,,,
Washington Sundar (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,13-Dec-17,India
"Sri Lanka in India ODI Series, 2017/18",,,,,,,,,,,,,,,
JA Richardson (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,19-Jan-18,England
"England in Australia ODI Series, 2017/18",,,,,,,,,,,,,,,
JJ Bumrah (INDIA),6,-,-,-,-,-,-,-,-,-,-,-,-,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
YS Chahal (INDIA),6,-,-,-,-,-,-,-,-,-,-,-,-,1-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
SN Thakur (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,16-Feb-18,India
"India in South Africa ODI Series, 2017/18",,,,,,,,,,,,,,,
JJ Bumrah (INDIA),4,-,-,-,-,-,-,-,-,-,-,-,-,19-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
YS Chahal (INDIA),5,-,-,-,-,-,-,-,-,-,-,-,-,18-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
HH Pandya (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,19-Sep-18,India
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates), 2018",,,,,,,,,,,,,,,
UT Yadav (INDIA),2,-,-,-,-,-,-,-,-,-,-,-,-,21-Oct-18,India
"West Indies in India ODI Series, 2018/19",,,,,,,,,,,,,,,
KK Ahmed (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,12-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
YS Chahal (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,18-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
Mohammed Siraj (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,15-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
V Shankar (INDIA),1,-,-,-,-,-,-,-,-,-,-,-,-,18-Jan-19,India
"India in Australia ODI Series, 2018/19",,,,,,,,,,,,,,,
